Duplicate #,Category 1,Category 2,URL
100,"Grocery > Dry Fruits","Grocery > Dry Fruits","https://www.dmart.in/category/dry-fruits-aesc-dryfruits2"
101,"Grocery > Masala & Spices","Grocery > Masala & Spices","https://www.dmart.in/category/masala---spices-aesc-masalaandspices4"
102,"Grocery > Salt / Sugar / Jaggery","Grocery > Salt / Sugar / Jaggery","https://www.dmart.in/category/salt---sugar---jaggery-aesc-saltsugarjaggery4"
103,"Packaged Food > Ketchup & Sauce","Packaged Food > Ketchup & Sauce","https://www.dmart.in/category/ketchup---sauce-aesc-ketchupandsauces"
104,"Packaged Food > Jams & Spreads","Packaged Food > Jams & Spreads","https://www.dmart.in/category/jams---spreads-aesc-jamsandspreads"
105,"Packaged Food > Pasta & Noodles","Packaged Food > Pasta & Noodles","https://www.dmart.in/category/pasta---noodles-aesc-pastaandnoodles"
106,"Packaged Food > Ready To Cook","Packaged Food > Ready To Cook","https://www.dmart.in/category/ready-to-cook-aesc-readytocook"
107,"Packaged Food > Pickles","Packaged Food > Pickles","https://www.dmart.in/category/pickles-aesc-pickles"
108,"Packaged Food > Mukhwas","Packaged Food > Mukhwas","https://www.dmart.in/category/mukhwas-aesc-mukhwas"
109,"Packaged Food > Bakery","Packaged Food > Bakery","https://www.dmart.in/category/bakery-aesc-bakery"
110,"Packaged Food > Frozen Foods","Packaged Food > Frozen Foods","https://www.dmart.in/category/frozen-foods-aesc-frozenfoods"
111,"Packaged Food > Sweets","Packaged Food > Sweets","https://www.dmart.in/category/sweets-aesc-sweets"
112,"Packaged Food > Chocolates & Candies","Packaged Food > Chocolates & Candies","https://www.dmart.in/category/chocolates---candies"
113,"Packaged Food > Sweets","Packaged Food > Sweets","https://www.dmart.in/category/sweets-aesc-sweets"
114,"Packaged Food > Mukhwas","Packaged Food > Mukhwas","https://www.dmart.in/category/mukhwas-aesc-mukhwas"
115,"Dairy & Beverages > Beverages","Dairy & Beverages > Beverages","https://www.dmart.in/category/beverages-aesc-beverages"
116,"Packaged Food > Biscuits & Cookies","Packaged Food > Biscuits & Cookies","https://www.dmart.in/category/biscuits---cookies-aesc-biscuitsandcookies"
117,"Packaged Food > Snacks & Farsans","Packaged Food > Snacks & Farsans","https://www.dmart.in/category/snacks---farsans-aesc-snacksandfarsans"
118,"Packaged Food > Chocolates & Candies","Packaged Food > Chocolates & Candies","https://www.dmart.in/category/chocolates---candies"
119,"Packaged Food > Health Food","Packaged Food > Health Food","https://www.dmart.in/category/health-food-aesc-healthfood"
120,"Packaged Food > Mukhwas","Packaged Food > Mukhwas","https://www.dmart.in/category/mukhwas-aesc-mukhwas"
121,"Packaged Food > Biscuits & Cookies","Packaged Food > Biscuits & Cookies","https://www.dmart.in/category/biscuits---cookies-aesc-biscuitsandcookies"
122,"Packaged Food > Bakery","Packaged Food > Bakery","https://www.dmart.in/category/bakery-aesc-bakery"
123,"Kitchen & Dining > Kitchen Appliances","Electronics & Appliances > Kitchen Appliances","https://www.dmart.in/category/kitchen-appliances-216005--1"
124,"Books > Children's Books","Baby Care > Children's Books","https://www.dmart.in/category/childrens-books-204006--1"
125,"Stationery > Art & Craft","Baby Care > Art & Craft","https://www.dmart.in/category/art-craft"
126,"Home Furnishing & Decor > Bath Range","Home Furnishing & Decor > Bath Range","https://www.dmart.in/category/bath-range"
127,"Personal Care & Beauty > Skin Care","Personal Care & Beauty > Skin Care","https://www.dmart.in/category/skin-care-208510--1"
128,"Personal Care & Beauty > Bath & Body","Personal Care & Beauty > Bath & Body","https://www.dmart.in/category/bath-body"
129,"Personal Care & Beauty > Hair Care","Personal Care & Beauty > Hair Care","https://www.dmart.in/category/hair-care-208506--1"
